36373	OSS-HAS
36385	OSS-HAS
36401	GAP
36408	OSS-HAS
36411	PARTIAL
36412	OSS-HAS
36447	PARTIAL
36449	OSS-HAS
36455	OSS-HAS
36473	GAP
36483	GAP
36496	PARTIAL
36516	OSS-HAS
36533	OSS-HAS
36545	OSS-HAS
36560	OSS-HAS
36568	GAP
36576	GAP
36580	OSS-HAS
36601	OSS-HAS
36602	PARTIAL
36609	OSS-HAS
36610	OSS-HAS
36616	OSS-HAS
36617	GAP
